Model,Image,Sigma,True_Idx,Certified_Idx,Correct,Radius
MobileNetV2,../images/miniimagenet_random_100\n01532829.jpg,0.12,12,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n01532829.jpg,0.25,12,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n01532829.jpg,0.5,12,971,False,1.1025931172777428
MobileNetV2,../images/miniimagenet_random_100\n01558993.jpg,0.12,15,363,False,0.0024227646503347266
MobileNetV2,../images/miniimagenet_random_100\n01558993.jpg,0.25,15,885,False,0.3101410286835075
MobileNetV2,../images/miniimagenet_random_100\n01558993.jpg,0.5,15,971,False,0.8343476805450155
MobileNetV2,../images/miniimagenet_random_100\n01704323.jpg,0.12,51,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n01704323.jpg,0.25,51,885,False,0.472905765436028
MobileNetV2,../images/miniimagenet_random_100\n01704323.jpg,0.5,51,971,False,1.1025931172777428
MobileNetV2,../images/miniimagenet_random_100\n01749939.jpg,0.12,64,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n01749939.jpg,0.25,64,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n01749939.jpg,0.5,64,971,False,0.5768796068211188
MobileNetV2,../images/miniimagenet_random_100\n01770081.jpg,0.12,73,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n01770081.jpg,0.25,73,310,False,0.16922438269345205
MobileNetV2,../images/miniimagenet_random_100\n01770081.jpg,0.5,73,971,False,1.0046603808495032
MobileNetV2,../images/miniimagenet_random_100\n01843383.jpg,0.12,96,644,False,0.04762019572559793
MobileNetV2,../images/miniimagenet_random_100\n01843383.jpg,0.25,96,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n01843383.jpg,0.5,96,971,False,1.0449260489665724
MobileNetV2,../images/miniimagenet_random_100\n01855672.jpg,0.12,168,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n01855672.jpg,0.25,168,885,False,0.472905765436028
MobileNetV2,../images/miniimagenet_random_100\n01855672.jpg,0.5,168,971,False,1.1025931172777428
MobileNetV2,../images/miniimagenet_random_100\n01910747.jpg,0.12,451,276,False,0.18510021828288187
MobileNetV2,../images/miniimagenet_random_100\n01910747.jpg,0.25,451,885,False,0.3558579962316126
MobileNetV2,../images/miniimagenet_random_100\n01910747.jpg,0.5,451,971,False,1.1025931172777428
MobileNetV2,../images/miniimagenet_random_100\n01930112.jpg,0.12,111,111,True,0.26462234814665825
MobileNetV2,../images/miniimagenet_random_100\n01930112.jpg,0.25,111,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n01930112.jpg,0.5,111,971,False,0.41992106355202
MobileNetV2,../images/miniimagenet_random_100\n01981276.jpg,0.12,126,911,False,0.02528608732008673
MobileNetV2,../images/miniimagenet_random_100\n01981276.jpg,0.25,126,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n01981276.jpg,0.5,126,971,False,0.730141933114778
MobileNetV2,../images/miniimagenet_random_100\n02074367.jpg,0.12,149,149,True,0.07395870281562943
MobileNetV2,../images/miniimagenet_random_100\n02074367.jpg,0.25,149,971,False,0.2139978250586948
MobileNetV2,../images/miniimagenet_random_100\n02074367.jpg,0.5,149,971,False,1.1025931172777428
MobileNetV2,../images/miniimagenet_random_100\n02089867.jpg,0.12,167,195,False,0.02782929043796405
MobileNetV2,../images/miniimagenet_random_100\n02089867.jpg,0.25,167,885,False,0.46119592763536366
MobileNetV2,../images/miniimagenet_random_100\n02089867.jpg,0.5,167,971,False,1.1025931172777428
MobileNetV2,../images/miniimagenet_random_100\n02091244.jpg,0.12,977,-1,False,0.0
MobileNetV2,../images/miniimagenet_random_100\n02091244.jpg,0.25,977,971,False,0.040886963181881335
